protocol,window_set,comparison,mean_diff,se,t95_lo,t95_hi,boot95_lo,boot95_hi,n_windows,wins,significant_t95
per-row,all 10 windows,block - EMA (SN-OMD default),0.15108,0.02213,0.10102,0.20114,0.11559,0.19605,10,10,true
per-row,all 10 windows,block - Normalized-GD,0.11262,0.01459,0.07962,0.14563,0.08639,0.14022,10,10,true
per-row,all 10 windows,block - Fixed-tau clip,0.08489,0.01349,0.05437,0.11541,0.06116,0.1108,10,10,true
per-row,all 10 windows,block - AdaGrad-Norm,0.09331,0.01416,0.06128,0.12533,0.06568,0.11722,10,10,true
per-row,all 10 windows,block - Cutkosky-Mehta,0.00422,0.00813,-0.01417,0.02262,-0.01095,0.01881,10,6,false
per-row,all 10 windows,block - OGD,0.29033,0.01975,0.24566,0.33501,0.25369,0.32605,10,10,true
per-row,all 10 windows,block - Scale-adaptive OGD,0.87479,0.17391,0.48142,1.26817,0.53899,1.17398,10,10,true
per-row,drop window 1 (selection-free),block - EMA (SN-OMD default),0.15429,0.02448,0.09783,0.21074,0.11422,0.20493,9,9,true
per-row,drop window 1 (selection-free),block - Normalized-GD,0.10445,0.01352,0.07328,0.13562,0.08017,0.13056,9,9,true
per-row,drop window 1 (selection-free),block - Fixed-tau clip,0.07651,0.01182,0.04924,0.10377,0.05569,0.09851,9,9,true
per-row,drop window 1 (selection-free),block - AdaGrad-Norm,0.095,0.01572,0.05876,0.13124,0.06407,0.12128,9,9,true
per-row,drop window 1 (selection-free),block - Cutkosky-Mehta,0.00009,0.00783,-0.01796,0.01814,-0.01454,0.01442,9,5,false
per-row,drop window 1 (selection-free),block - OGD,0.27946,0.01843,0.23695,0.32197,0.24486,0.31223,9,9,true
per-row,drop window 1 (selection-free),block - Scale-adaptive OGD,0.9448,0.17798,0.53437,1.35523,0.58832,1.24759,9,9,true
per-step,all 10 windows,block - EMA (SN-OMD default),0.07315,0.03253,-0.00044,0.14674,0.00684,0.12614,10,9,false
per-step,all 10 windows,block - Normalized-GD,0.10709,0.02704,0.04593,0.16825,0.05641,0.15655,10,8,true
per-step,all 10 windows,block - Fixed-tau clip,-0.00036,0.0061,-0.01417,0.01345,-0.01196,0.01051,10,5,false
per-step,all 10 windows,block - AdaGrad-Norm,0.01299,0.0393,-0.0759,0.10188,-0.0632,0.08165,10,6,false
per-step,all 10 windows,block - Cutkosky-Mehta,0.10709,0.02704,0.04593,0.16825,0.05676,0.15587,10,8,true
per-step,all 10 windows,block - OGD,1.08728,0.10372,0.85266,1.32189,0.87179,1.23798,10,10,true
per-step,all 10 windows,block - Scale-adaptive OGD,0.10644,0.04483,0.00502,0.20785,0.02069,0.18697,10,8,true
per-step,drop window 1 (selection-free),block - EMA (SN-OMD default),0.07661,0.03617,-0.00679,0.16002,0.00284,0.1347,9,8,false
per-step,drop window 1 (selection-free),block - Normalized-GD,0.12122,0.02577,0.06178,0.18065,0.0738,0.16827,9,8,true
per-step,drop window 1 (selection-free),block - Fixed-tau clip,0.00304,0.00567,-0.01003,0.01611,-0.00756,0.01305,9,5,false
per-step,drop window 1 (selection-free),block - AdaGrad-Norm,-0.00026,0.04136,-0.09564,0.09513,-0.08009,0.07203,9,5,false
per-step,drop window 1 (selection-free),block - Cutkosky-Mehta,0.12122,0.02577,0.06178,0.18065,0.0731,0.16748,9,8,true
per-step,drop window 1 (selection-free),block - OGD,1.18454,0.04028,1.09165,1.27743,1.10788,1.2564,9,9,true
per-step,drop window 1 (selection-free),block - Scale-adaptive OGD,0.08815,0.04577,-0.01739,0.19369,0.00049,0.17014,9,7,false
