method,lr,peak_loss,r2
OGD,0.001,1.3536127908991717,-0.00026
OGD,0.002,1.3546842406762218,-0.00068
OGD,0.005,1.3578711358736277,-0.0022
OGD,0.01,1.3629795364453172,-0.00503
OGD,0.02,1.373004938779847,-0.01086
OGD,0.05,1.4022106063476252,-0.02724
OGD,0.1,1.4521279133434946,-0.05452
OGD,0.2,1.5753643361000953,-0.11994
OGD,0.5,3.3743031485186354,-0.9137
OGD,1.0,489645037.4507794,-200761180.67582
OGD,2.0,1.1448954562270935e+75,-4.696616760954066e+74
Normalized-GD,0.02,1.3552202317553128,-0.00197
Normalized-GD,0.05,1.360599974267197,-0.00631
Normalized-GD,0.1,1.369226871039855,-0.01353
Normalized-GD,0.2,1.379100746831438,-0.02201
Normalized-GD,0.5,1.3934191575804558,-0.03708
Normalized-GD,1.0,1.408703819330255,-0.05713
Normalized-GD,2.0,1.443728989088915,-0.10885
Normalized-GD,3.0,1.5150847959150457,-0.16829
Normalized-GD,5.0,1.6546807793218306,-0.32564
Normalized-GD,8.0,1.889863552251013,-0.62336
Scale-adaptive OGD,0.02,1.3568058042475224,-0.00217
Scale-adaptive OGD,0.05,1.3612417272522768,-0.00555
Scale-adaptive OGD,0.1,1.3674763739018372,-0.01204
Scale-adaptive OGD,0.2,1.3807753781789374,-0.02586
Scale-adaptive OGD,0.5,13.848514656538853,-5.43671
Scale-adaptive OGD,1.0,10154881979379.758,-8036587042092.677
Scale-adaptive OGD,2.0,8.281950211362234e+16,-6.962965641889082e+16
Scale-adaptive OGD,3.0,8.151146146380298e+16,-6.989614033298754e+16
Scale-adaptive OGD,5.0,2.4696250431732563e+17,-2.1547069946934662e+17
Scale-adaptive OGD,8.0,5.000828225727829e+17,-4.2822806187187315e+17
SN-OMD (M=5),0.02,1.3561081445584906,-0.00192
SN-OMD (M=5),0.05,1.3595104882231444,-0.00452
SN-OMD (M=5),0.1,1.3630747428675565,-0.00884
SN-OMD (M=5),0.2,1.3710939554680368,-0.01745
SN-OMD (M=5),0.5,1.3949270796153073,-0.04012
SN-OMD (M=5),1.0,1.4405286769403438,-0.09224
SN-OMD (M=5),2.0,1.5416576021645274,-0.22044
SN-OMD (M=5),3.0,1.6727344222680345,-0.43481
SN-OMD (M=5),5.0,3.0545955116021473,-1.16307
SN-OMD (M=5),8.0,6.56141475625338,-2.7802
SN-OMD + block,0.02,1.3552202317553128,-0.00197
SN-OMD + block,0.05,1.360599974267197,-0.00631
SN-OMD + block,0.1,1.369226871039855,-0.01353
SN-OMD + block,0.2,1.379100746831438,-0.02201
SN-OMD + block,0.5,1.3934191575804558,-0.03708
SN-OMD + block,1.0,1.408703819330255,-0.05713
SN-OMD + block,2.0,1.443728989088915,-0.10885
SN-OMD + block,3.0,1.5150847959150457,-0.16829
SN-OMD + block,5.0,1.6546807793218306,-0.32564
SN-OMD + block,8.0,1.889863552251013,-0.62336
fixed-tau clip,0.02,1.363825409220273,-0.00617
fixed-tau clip,0.05,1.3763064369854676,-0.01485
fixed-tau clip,0.1,1.3964093854767152,-0.02808
fixed-tau clip,0.2,1.4394258416731365,-0.05552
fixed-tau clip,0.5,1.5688598923106811,-0.14457
fixed-tau clip,1.0,1.9736289360498087,-0.5581
fixed-tau clip,2.0,5.814831311324298,-2.64263
fixed-tau clip,3.0,15.022890273579478,-6.9522
fixed-tau clip,5.0,49.19729317040053,-23.28412
fixed-tau clip,8.0,158.67336427773864,-75.97869
AdaGrad-Norm,0.003,1.3531197969398692,-0.00018
AdaGrad-Norm,0.01,1.3543493506604452,-0.00056
AdaGrad-Norm,0.03,1.358623749224885,-0.00247
AdaGrad-Norm,0.1,1.3710524469439163,-0.00957
AdaGrad-Norm,0.3,1.3999217545661176,-0.02821
AdaGrad-Norm,1.0,1.4986102900003058,-0.08646
AdaGrad-Norm,3.0,1.911121824117836,-0.30055
AdaGrad-Norm,5.0,2.599348374689714,-0.62771
Cutkosky-Mehta,0.02,1.3643719277951503,-0.01005
Cutkosky-Mehta,0.05,1.3853285118217293,-0.02645
Cutkosky-Mehta,0.1,1.4002656179699096,-0.03875
Cutkosky-Mehta,0.2,1.4068656722821575,-0.04927
Cutkosky-Mehta,0.5,1.4254718351298095,-0.07699
Cutkosky-Mehta,1.0,1.4742315937790922,-0.12853
Cutkosky-Mehta,2.0,1.5836978798815935,-0.24301
Cutkosky-Mehta,3.0,1.6966126837024724,-0.38233
Cutkosky-Mehta,5.0,1.9450104894668292,-0.72084
Cutkosky-Mehta,8.0,3.091301320886439,-1.53191
